open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1666346400000,-0.00055693,-0.00013625,-0.00151609,-0.00048201,0,1666349999999,0,720,0,0,0
1666350000000,-0.00059606,-0.00023300,-0.00086170,-0.00061377,0,1666353599999,0,720,0,0,0
1666353600000,-0.00057686,0.00245147,-0.00357692,-0.00047736,0,1666357199999,0,720,0,0,0
1666357200000,-0.00058031,0.00023443,-0.00124532,-0.00073320,0,1666360799999,0,720,0,0,0
1666360800000,-0.00063592,0.00083478,-0.00132513,-0.00047759,0,1666364399999,0,720,0,0,0
1666364400000,-0.00060938,0.00021699,-0.00083465,-0.00041489,0,1666367999999,0,720,0,0,0
1666368000000,-0.00035870,0.00029423,-0.00126214,-0.00053996,0,1666371599999,0,720,0,0,0
1666371600000,-0.00057104,0.00000675,-0.00084353,-0.00053708,0,1666375199999,0,720,0,0,0
1666375200000,-0.00053568,0.00020965,-0.00081070,-0.00048657,0,1666378799999,0,720,0,0,0
1666378800000,-0.00054204,0.00000904,-0.00095773,-0.00063321,0,1666382399999,0,720,0,0,0
1666382400000,-0.00052344,0.00062957,-0.00090198,-0.00044109,0,1666385999999,0,720,0,0,0
1666386000000,-0.00054917,-0.00014773,-0.00069837,-0.00039252,0,1666389599999,0,720,0,0,0
1666389600000,-0.00040413,-0.00014006,-0.00063867,-0.00044250,0,1666393199999,0,720,0,0,0
1666393200000,-0.00044486,-0.00016458,-0.00066955,-0.00059721,0,1666396799999,0,720,0,0,0
1666396800000,-0.00058571,-0.00024770,-0.00067495,-0.00039576,0,1666400399999,0,720,0,0,0
1666400400000,-0.00036772,-0.00020431,-0.00062720,-0.00035845,0,1666403999999,0,720,0,0,0
1666404000000,-0.00035472,-0.00027078,-0.00087848,-0.00051922,0,1666407599999,0,720,0,0,0
1666407600000,-0.00052649,-0.00021585,-0.00074890,-0.00049964,0,1666411199999,0,720,0,0,0
1666411200000,-0.00047757,-0.00025922,-0.00064035,-0.00052693,0,1666414799999,0,720,0,0,0
1666414800000,-0.00051423,-0.00028530,-0.00061183,-0.00038510,0,1666418399999,0,720,0,0,0
1666418400000,-0.00037821,-0.00021133,-0.00071199,-0.00037301,0,1666421999999,0,720,0,0,0
1666422000000,-0.00037760,-0.00010053,-0.00050573,-0.00034120,0,1666425599999,0,720,0,0,0
1666425600000,-0.00031555,-0.00018819,-0.00056497,-0.00036902,0,1666429199999,0,720,0,0,0
1666429200000,-0.00035505,-0.00021466,-0.00094744,-0.00051993,0,1666432799999,0,720,0,0,0
1666432800000,-0.00049637,-0.00031299,-0.00061030,-0.00050914,0,1666436399999,0,720,0,0,0
1666436400000,-0.00048789,-0.00025007,-0.00066922,-0.00046876,0,1666439999999,0,720,0,0,0
1666440000000,-0.00049140,-0.00026473,-0.00076862,-0.00043935,0,1666443599999,0,720,0,0,0
1666443600000,-0.00043327,0.00026994,-0.00080134,-0.00064917,0,1666447199999,0,720,0,0,0
1666447200000,-0.00064802,-0.00024782,-0.00073247,-0.00040480,0,1666450799999,0,720,0,0,0
1666450800000,-0.00036937,-0.00022609,-0.00075669,-0.00047915,0,1666454399999,0,720,0,0,0
1666454400000,-0.00052554,-0.00017411,-0.00078371,-0.00035253,0,1666457999999,0,720,0,0,0
1666458000000,-0.00037509,-0.00015180,-0.00110288,-0.00046628,0,1666461599999,0,720,0,0,0
1666461600000,-0.00046928,-0.00024689,-0.00068234,-0.00051570,0,1666465199999,0,720,0,0,0
