timestamp,btc_short_liquidations
1616054100000.0,3805.09
1616055000000.0,6325.54
1616055900000.0,14944.43
1616057100000.0,19671.87
1616057700000.0,15373.81
1616058300000.0,746.59
1616059200000.0,17407.84
1616060100000.0,7906.33
1616061300000.0,20500.67
1616062200000.0,15538.0
1616063100000.0,13996.76
1616064300000.0,12292.31
1616065500000.0,14940.14
1616066700000.0,16241.19
1616067600000.0,17326.79
1616068500000.0,3238.74
1616069100000.0,17039.97
1616069700000.0,16828.45
1616070300000.0,15306.65
1616070900000.0,14465.28
1616071500000.0,10619.8
1616072100000.0,2292.58
1616072700000.0,13774.67
1616073600000.0,11399.96
1616074500000.0,15165.05
1616075400000.0,11832.42
1616076300000.0,18295.69
1616076900000.0,10336.78
1616077200000.0,2808.41
1616078100000.0,13693.17
1616078700000.0,10536.56
1616079300000.0,19086.68
1616079900000.0,12553.0
1616080500000.0,70553.43
1616081100000.0,46055.06
1616081700000.0,10705.35
1616082000000.0,42188.2
1616082300000.0,142975.36
1616082600000.0,23156.94
1616082900000.0,31886.59
1616083200000.0,78499.23
1616083500000.0,19251.65
1616083800000.0,14143.87
1616084100000.0,16213.47
1616084700000.0,15379.2
1616085300000.0,57949.01
1616085600000.0,19168.13
1616085900000.0,24850.46
1616086500000.0,27248.34
1616086800000.0,21374.13
1616087100000.0,19971.35
1616087700000.0,12527.21
1616088600000.0,10771.26
1616089200000.0,11527.79
1616089800000.0,334.46
1616090400000.0,27270.63
1616091300000.0,2416.8
1616091600000.0,15664.04
1616092200000.0,2703.0
1616092800000.0,15607.11
1616093100000.0,12569.43
1616093400000.0,566.82
1616094000000.0,15416.08
1616094600000.0,13305.88
1616094900000.0,17149.29
1616095200000.0,25074.07
1616095800000.0,11838.03
1616096400000.0,20312.18
1616097000000.0,33037.7
1616097300000.0,12225.64
1616097600000.0,40326.33
1616097900000.0,14194.84
1616098200000.0,19771.19
1616098800000.0,41996.67
1616099700000.0,13024.85
1616100300000.0,12102.26
1616101200000.0,23997.59
1616102100000.0,11362.44
1616103600000.0,11695.4
1616104500000.0,21676.15
1616105700000.0,13704.76
1616106600000.0,11171.73
1616107800000.0,11234.33
1616109000000.0,15508.61
1616110200000.0,14745.02
1616111100000.0,18388.58
1616112300000.0,13403.82
1616112900000.0,36920.0
1616113200000.0,18610.01
1616113500000.0,47926.9
1616114100000.0,18975.04
1616115000000.0,4927.74
1616115900000.0,7636.18
1616116500000.0,11255.27
1616117400000.0,26996.86
1616118600000.0,11546.63
1616119500000.0,18536.21
1616120700000.0,30619.16
1616121300000.0,13920.97
1616122200000.0,1197.07
1616123400000.0,6714.11
1616124600000.0,35829.74
1616125800000.0,14150.25
