timestamp,btc_long_liquidations
1631619900000.0,10678.36
1631621400000.0,42725.56
1631622300000.0,52406.46
1631622900000.0,34190.86
1631623200000.0,10529.18
1631623500000.0,20229.73
1631623800000.0,15166.69
1631624400000.0,196.92
1631624700000.0,6130.26
1631625300000.0,8307.45
1631625600000.0,15868.46
1631626200000.0,16155.3
1631626500000.0,14695.4
1631627100000.0,20266.37
1631627700000.0,49827.2
1631628300000.0,11298.96
1631628900000.0,3869.68
1631629500000.0,12699.7
1631630400000.0,10563.12
1631631300000.0,22485.07
1631631900000.0,26843.87
1631632500000.0,8580.04
1631632800000.0,6906.73
1631633400000.0,20254.41
1631634000000.0,11827.87
1631634300000.0,21356.28
1631635500000.0,14095.38
1631636400000.0,6278.04
1631637900000.0,132.82
1631639100000.0,9532.19
1631640600000.0,14706.24
1631641500000.0,37349.89
1631643300000.0,11804.42
1631643900000.0,11203.89
1631644800000.0,11400.66
1631645700000.0,3762.88
1631647200000.0,10455.04
1631649000000.0,10810.44
1631650500000.0,12613.77
1631652000000.0,11155.73
1631652300000.0,9179.42
1631653200000.0,23425.6
1631654400000.0,7047.21
1631655000000.0,11321.74
1631656500000.0,13865.91
1631658000000.0,28484.19
1631658300000.0,10672.48
1631658900000.0,10072.11
1631659500000.0,13065.43
1631660400000.0,17457.87
1631661300000.0,13746.66
1631662500000.0,12423.94
1631664000000.0,15839.25
1631664600000.0,19243.49
1631665800000.0,12081.0
1631666700000.0,5904.44
1631667000000.0,10515.41
1631667900000.0,17554.45
1631668500000.0,2307.25
1631669400000.0,18661.15
1631670300000.0,7657.12
1631671500000.0,10353.84
1631673300000.0,10523.81
1631674800000.0,12298.86
1631676000000.0,11464.96
1631677800000.0,9645.37
1631679000000.0,1715.21
1631680800000.0,26632.97
1631682000000.0,12033.78
1631683200000.0,2204.43
1631684400000.0,19886.45
1631685900000.0,6613.25
1631686800000.0,15600.3
1631687400000.0,10907.85
1631688600000.0,10719.05
1631690100000.0,10606.9
1631691300000.0,17079.26
1631693100000.0,10258.33
1631693700000.0,17017.04
1631694600000.0,11535.75
1631695800000.0,3519.13
1631697000000.0,4002.52
1631697900000.0,10580.47
1631699100000.0,11068.21
1631700300000.0,16105.39
1631700900000.0,469.26
1631701500000.0,42773.93
1631702100000.0,12757.02
1631702700000.0,13998.37
1631703600000.0,11308.92
1631704500000.0,10410.78
1631705100000.0,15153.66
1631705700000.0,12843.34
1631706600000.0,13291.32
1631707800000.0,2003.06
1631708700000.0,1131.55
1631709900000.0,21267.97
1631710800000.0,12014.61
1631712000000.0,21178.38
1631712900000.0,19194.79
1631713500000.0,2279.8
1631713800000.0,17643.14
1631714700000.0,10627.74
1631715300000.0,10661.4
1631716200000.0,12383.31
1631717100000.0,14175.12
1631718000000.0,4480.71
1631718300000.0,20108.87
1631718600000.0,22800.69
1631718900000.0,6727.52
1631719200000.0,1778.48
1631719800000.0,11718.09
1631720100000.0,25129.81
1631720700000.0,14159.66
1631721600000.0,10476.96
1631721900000.0,13239.15
1631722500000.0,6958.39
1631723100000.0,9587.62
1631723700000.0,11676.47
1631724600000.0,12367.97
1631725500000.0,12681.75
